draw_index,ratio
0,2.725781638322589
1,2.725781638322589
2,2.725781638322589
3,2.725781638322589
4,2.725781638322589
5,2.725781638322589
6,2.725781638322589
7,2.725781638322589
8,2.725781638322589
9,2.725781638322589
10,2.725781638322589
11,2.2933461807161843
12,2.2933461807161843
13,2.4411294876024887
14,2.2933461807161843
15,2.2933461807161843
16,2.2933461807161843
17,2.386705418999842
18,2.2933461807161843
19,2.2933461807161843
20,2.5600897363307813
21,2.2933461807161843
22,2.4411294876024887
23,2.2933461807161843
24,2.2933461807161843
25,2.2933461807161843
26,2.386705418999842
27,2.2933461807161843
28,2.2933461807161843
29,2.5600897363307813
30,2.4411294876024887
31,2.2933461807161843
32,2.2933461807161843
33,2.2933461807161843
34,2.386705418999842
35,2.2933461807161843
36,2.2933461807161843
37,2.5600897363307813
38,2.4411294876024887
39,2.4411294876024887
40,2.4411294876024887
41,2.4411294876024887
42,2.4411294876024887
43,2.4411294876024887
44,2.5600897363307813
45,2.2933461807161843
46,2.2933461807161843
47,2.386705418999842
48,2.2933461807161843
49,2.2933461807161843
50,2.5600897363307813
51,2.2933461807161843
52,2.386705418999842
53,2.2933461807161843
54,2.2933461807161843
55,2.5600897363307813
56,2.386705418999842
57,2.2933461807161843
58,2.2933461807161843
59,2.5600897363307813
60,2.386705418999842
61,2.386705418999842
62,2.5600897363307813
63,2.2933461807161843
64,2.5600897363307813
65,2.5600897363307813
66,2.2933461807161843
67,2.2933461807161843
68,2.4411294876024887
69,2.2933461807161843
70,2.2933461807161843
71,2.2933461807161843
72,2.386705418999842
73,2.2933461807161843
74,2.2933461807161843
75,2.5600897363307813
76,2.2933461807161843
77,2.4411294876024887
78,2.2933461807161843
79,2.2933461807161843
80,2.2933461807161843
81,2.386705418999842
82,2.2933461807161843
83,2.2933461807161843
84,2.5600897363307813
85,2.4411294876024887
86,2.2933461807161843
87,2.2933461807161843
88,2.2933461807161843
89,2.386705418999842
90,2.2933461807161843
91,2.2933461807161843
92,2.5600897363307813
93,2.4411294876024887
94,2.4411294876024887
95,2.4411294876024887
96,2.4411294876024887
97,2.4411294876024887
98,2.4411294876024887
99,2.5600897363307813
100,2.2933461807161843
101,2.2933461807161843
102,2.386705418999842
103,2.2933461807161843
